date_time,branch,commit,file,size_bytes
2023-02-03T22:08:57.825182397+00:00,engine-size,373ea7e,query-engine,16954136
2023-02-03T22:08:57.825182397+00:00,engine-size,373ea7e,libquery_engine.node,14707008
